Postcode,Postcode78,Easting,Northing,OA,X,Y
BA1 0AG,BA1 0AG,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0AQ,BA1 0AQ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0AR,BA1 0AR,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0AY,BA1 0AY,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0AZ,BA1 0AZ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0BG,BA1 0BG,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0BT,BA1 0BT,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0DF,BA1 0DF,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0DH,BA1 0DH,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0DJ,BA1 0DJ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0DQ,BA1 0DQ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0DS,BA1 0DS,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0EJ,BA1 0EJ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0EQ,BA1 0EQ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0FA,BA1 0FA,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0FG,BA1 0FG,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0FH,BA1 0FH,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0FL,BA1 0FL,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0FN,BA1 0FN,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0FW,BA1 0FW,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0FX,BA1 0FX,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0GL,BA1 0GL,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0GQ,BA1 0GQ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0HE,BA1 0HE,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0HF,BA1 0HF,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0HJ,BA1 0HJ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0HU,BA1 0HU,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0JD,BA1 0JD,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0JE,BA1 0JE,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0JH,BA1 0JH,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0JN,BA1 0JN,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0LH,BA1 0LH,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0LR,BA1 0LR,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0LT,BA1 0LT,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0ND,BA1 0ND,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0NE,BA1 0NE,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0NG,BA1 0NG,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0NH,BA1 0NH,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0NY,BA1 0NY,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0PD,BA1 0PD,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0PG,BA1 0PG,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0PS,BA1 0PS,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0PY,BA1 0PY,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QB,BA1 0QB,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QD,BA1 0QD,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QE,BA1 0QE,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QF,BA1 0QF,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QN,BA1 0QN,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QU,BA1 0QU,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QW,BA1 0QW,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QX,BA1 0QX,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QY,BA1 0QY,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0QZ,BA1 0QZ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RA,BA1 0RA,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RD,BA1 0RD,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RE,BA1 0RE,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RF,BA1 0RF,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RG,BA1 0RG,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RH,BA1 0RH,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RJ,BA1 0RJ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RL,BA1 0RL,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RP,BA1 0RP,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RQ,BA1 0RQ,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RR,BA1 0RR,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RS,BA1 0RS,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0RT,BA1 0RT,375350,164483,E00072575,-2.355586339,51.3788065
BA1 0SA,BA1 0SA,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SB,BA1 0SB,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SD,BA1 0SD,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SE,BA1 0SE,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SF,BA1 0SF,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SG,BA1 0SG,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SH,BA1 0SH,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SJ,BA1 0SJ,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SL,BA1 0SL,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SN,BA1 0SN,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SP,BA1 0SP,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SQ,BA1 0SQ,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SR,BA1 0SR,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SS,BA1 0SS,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0ST,BA1 0ST,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SU,BA1 0SU,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SW,BA1 0SW,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SX,BA1 0SX,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SY,BA1 0SY,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0SZ,BA1 0SZ,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TA,BA1 0TA,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TB,BA1 0TB,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TD,BA1 0TD,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TE,BA1 0TE,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TF,BA1 0TF,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TG,BA1 0TG,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TH,BA1 0TH,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TJ,BA1 0TJ,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TL,BA1 0TL,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TN,BA1 0TN,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TP,BA1 0TP,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TQ,BA1 0TQ,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TR,BA1 0TR,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TS,BA1 0TS,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TT,BA1 0TT,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TU,BA1 0TU,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TW,BA1 0TW,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TX,BA1 0TX,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TY,BA1 0TY,375127,164839,E00072574,-2.358815394,51.38199784
BA1 0TZ,BA1 0TZ,375127,164839,E00072574,-2.358815394,51.38199784
BA1 1AA,BA1 1AA,375350,164483,E00072575,-2.355586339,51.3788065
BA1 1AG,BA1 1AG,374817,164613,E00072759,-2.363253693,51.37995196
BA1 1AJ,BA1 1AJ,375042,164982,E00072573,-2.360046832,51.38327989
BA1 1AL,BA1 1AL,374814,164572,E00072759,-2.363293897,51.37958318
BA1 1AN,BA1 1AN,375096,164483,E00072575,-2.359235797,51.37879537
BA1 1AP,BA1 1AP,375154,164451,E00072575,-2.358400143,51.37851018
BA1 1AQ,BA1 1AQ,375096,164483,E00072575,-2.359235797,51.37879537
BA1 1AR,BA1 1AR,375096,164431,E00072575,-2.359232137,51.37832785
BA1 1AS,BA1 1AS,375154,164451,E00072575,-2.358400143,51.37851018
BA1 1AT,BA1 1AT,375096,164431,E00072575,-2.359232137,51.37832785
BA1 1AU,BA1 1AU,375189,164485,E00072575,-2.357899643,51.37881744
